collection	titles	bundles	no bundle	quota bundles	rvk	no rvk	quota rvk
0	3664	3482	182	95,03	292	3372	7,97
1	4478	4184	294	93,43	3512	966	78,43
2	2748	2534	214	92,21	2440	308	88,79
4	707	633	74	89,53	600	107	84,87
5	1361	1253	108	92,06	1165	196	85,60
6	3256	3045	211	93,52	2939	317	90,26
65	52	48	4	92,31	48	4	92,31
7	3696	3402	294	92,05	2894	802	78,30
8	1039	891	148	85,76	819	220	78,83
85	219	147	72	67,12	145	74	66,21
9	830	722	108	86,99	618	212	74,46
X	6915	6079	836	87,91	5260	1655	76,07
Xn	9721	8117	1604	83,50	7005	2716	72,06
